,Year,Lg,Champion,Runner-Up,Finals MVP,Unnamed: 5,Points,Rebounds,Assists,Win Shares
66,1967.0,NBA,Philadelphia 76ers,San Francisco Warriors,,,R. Barry (521),W. Chamberlain (437),W. Chamberlain (135),W. Chamberlain (3.8)
67,1966.0,NBA,Boston Celtics,Los Angeles Lakers,,,J. West (479),B. Russell (428),B. Russell (85),B. Russell (3.2)
68,1965.0,NBA,Boston Celtics,Los Angeles Lakers,,,J. West (447),B. Russell (302),B. Russell (76),B. Russell (3.3)
69,1964.0,NBA,Boston Celtics,San Francisco Warriors,,,W. Chamberlain (416),W. Chamberlain (302),G. Rodgers (90),W. Chamberlain (3.8)
70,1963.0,NBA,Boston Celtics,Los Angeles Lakers,,,E. Baylor (424),B. Russell (326),B. Cousy (116),B. Russell (2.5)
71,1962.0,NBA,Boston Celtics,Los Angeles Lakers,,,E. Baylor (502),B. Russell (370),B. Cousy (123),B. Russell (3.6)
72,1961.0,NBA,Boston Celtics,St. Louis Hawks,,,E. Baylor (457),B. Russell (299),B. Cousy (91),E. Baylor (2.8)
73,1960.0,NBA,Boston Celtics,St. Louis Hawks,,,B. Pettit (365),B. Russell (336),B. Cousy (116),B. Russell (3.0)
74,1959.0,NBA,Boston Celtics,Minneapolis Lakers,,,E. Baylor (331),B. Russell (305),B. Cousy (119),F. Ramsey (2.0)
75,1958.0,NBA,St. Louis Hawks,Boston Celtics,,,C. Hagan (305),B. Russell (221),B. Cousy (82),C. Hagan (2.7)
76,1957.0,NBA,Boston Celtics,St. Louis Hawks,,,B. Pettit (298),B. Russell (244),B. Cousy (93),B. Pettit (1.7)
77,1956.0,NBA,Philadelphia Warriors,Fort Wayne Pistons,,,P. Arizin (289),N. Johnston (143),G. King (60),P. Arizin (2.2)
78,1955.0,NBA,Syracuse Nationals,Fort Wayne Pistons,,,D. Schayes (209),D. Schayes (141),A. Phillip (78),D. Schayes (1.8)
79,1954.0,NBA,Minneapolis Lakers,Syracuse Nationals,,,G. Mikan (252),G. Mikan (171),S. Martin (60),G. Mikan (3.5)
80,1953.0,NBA,Minneapolis Lakers,New York Knicks,,,G. Mikan (238),G. Mikan (185),D. McGuire (70),G. Mikan (2.0)
81,1952.0,NBA,Minneapolis Lakers,New York Knicks,,,G. Mikan (307),G. Mikan (207),D. McGuire (90),G. Mikan (2.4)
82,1951.0,NBA,Rochester Royals,New York Knicks,,,A. Risen (273),A. Risen (196),D. McGuire (78),B. Wanzer (2.7)
83,,,,,,,,,,
84,1950.0,NBA,Minneapolis Lakers,Syracuse Nationals,,,G. Mikan (376),,J. Pollard (56),G. Mikan (3.7)
85,1949.0,BAA,Minneapolis Lakers,Washington Capitols,,,G. Mikan (303),,J. Pollard (39),G. Mikan (4.2)
86,1948.0,BAA,Baltimore Bullets,Philadelphia Warriors,,,J. Fulks (282),,H. Dallmar (37),C. Simmons (2.5)
87,1947.0,BAA,Philadelphia Warriors,Chicago Stags,,,J. Fulks (222),,H. Dallmar (16),J. Fulks (2.3)
