Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
Atlanta Hawks,25.7,33,49,2002,False,35.4,80.6,43.9,30.2,66.0,45.800000000000004,5.2,14.6,35.4,18.099999999999998,47.099999999999994,18.1,23.7,76.5,51.7,20.2,11.6,41.5,94.0,-4.23,101.8,106.4,91.9,14.6,27.5,Never Qualified
Houston Rockets,25.9,28,54,2002,False,34.6,80.8,42.8,28.5,62.8,45.5,6.0,18.0,33.5,22.3,46.5,17.1,23.1,74.1,50.7,18.1,12.5,41.9,92.3,-4.89,103.1,108.6,88.2,13.4,29.0,Never Qualified
Golden State Warriors,24.8,21,61,2002,False,36.6,85.2,42.9,32.7,73.1,44.7,3.9,12.1,32.2,14.2,45.2,20.6,28.6,72.2,49.9,20.8,16.3,46.7,97.7,-5.4,102.8,108.5,94.5,14.7,35.3,Never Qualified
Denver Nuggets,28.2,27,55,2002,False,35.5,83.8,42.4,30.4,68.1,44.6,5.2,15.7,32.9,18.7,45.5,15.9,21.4,74.4,49.5,22.2,13.6,41.8,92.2,-5.82,101.4,107.8,90.4,13.6,30.6,Never Qualified
Memphis Grizzlies,25.5,23,59,2002,False,34.8,79.7,43.6,30.7,66.3,46.2,4.1,13.4,30.7,16.8,46.2,16.3,23.0,70.8,50.1,21.8,12.0,41.4,89.9,-7.44,98.2,106.3,91.1,15.4,27.8,Never Qualified
Chicago Bulls,25.5,21,61,2002,False,34.3,79.2,43.3,30.6,68.6,44.7,3.7,10.6,34.599999999999994,13.4,45.6,17.2,23.9,72.2,49.9,22.2,11.3,40.0,89.5,-8.54,98.2,107.6,90.5,14.6,26.6,Never Qualified
Dallas Mavericks,28.1,60,22,2003,True,38.5,85.1,45.300000000000004,30.8,64.8,47.5,7.8,20.3,38.1,23.9,49.8,18.1,21.9,82.89999999999999,54.300000000000004,22.4,11.1,42.1,103.0,7.78,110.7,102.3,92.5,10.9,25.4,Knocked Out
Sacramento Kings,28.3,59,23,2003,True,39.5,85.2,46.400000000000006,33.5,69.5,48.199999999999996,6.0,15.7,38.1,18.4,49.9,16.7,22.3,74.6,53.5,24.8,11.0,44.5,101.7,6.5,105.9,99.1,95.4,13.3,25.6,Knocked Out
San Antonio Spurs,28.4,60,22,2003,True,35.5,76.8,46.2,30.0,61.3,48.9,5.5,15.5,35.4,20.200000000000003,49.7,19.4,26.8,72.5,54.1,20.0,11.5,42.6,95.8,5.41,105.6,99.7,90.0,15.1,28.8,Champion
Brooklyn Nets,27.3,49,33,2003,True,35.4,80.3,44.1,31.2,67.6,46.2,4.2,12.7,33.2,15.8,46.800000000000004,20.3,26.8,75.7,51.800000000000004,23.0,12.1,42.9,95.4,5.22,103.8,98.1,91.6,13.8,28.7,Knocked Out
Detroit Pistons,29.0,50,32,2003,True,32.9,76.5,43.0,26.4,58.4,45.2,6.5,18.1,35.8,23.7,47.3,19.0,24.6,77.10000000000001,52.300000000000004,19.8,10.8,40.6,91.4,3.68,104.1,99.9,86.8,13.3,25.9,Knocked Out
Indiana Pacers,25.9,48,34,2003,True,35.5,80.6,44.1,30.9,66.9,46.1,4.6,13.6,33.900000000000006,16.900000000000002,46.9,21.2,27.7,76.6,52.2,23.3,12.2,44.2,96.8,3.49,104.6,100.8,91.6,13.7,29.0,Knocked Out
Portland Trail Blazers,29.2,50,32,2003,True,36.4,79.2,46.0,31.8,65.1,48.8,4.6,14.0,33.0,17.7,48.9,17.7,23.7,74.5,53.1,22.7,12.1,41.1,95.2,2.61,105.5,102.6,89.4,14.5,30.2,Knocked Out
Utah Jazz,30.9,47,35,2003,True,35.3,75.5,46.800000000000004,32.6,67.7,48.1,2.7,7.8,34.9,10.4,48.6,21.3,28.6,74.5,53.7,25.6,12.5,41.5,94.7,2.39,105.5,102.8,89.3,16.0,32.5,Knocked Out
Los Angeles Lakers,28.1,50,32,2003,True,37.7,83.6,45.1,31.8,66.9,47.5,5.9,16.7,35.6,19.900000000000002,48.6,19.0,26.0,73.4,52.800000000000004,23.3,13.1,44.3,100.4,2.33,107.2,104.7,92.5,13.3,30.2,Knocked Out
Philadelphia 76ers,28.3,48,34,2003,True,36.3,81.0,44.800000000000004,33.3,71.4,46.6,3.0,9.6,31.1,11.899999999999999,46.6,21.3,27.5,77.5,52.0,21.6,12.7,42.2,96.8,2.3,105.0,102.5,91.4,13.7,30.3,Knocked Out
Minnesota Timberwolves,28.2,51,31,2003,True,38.7,83.0,46.6,35.1,73.2,47.9,3.6,9.8,36.8,11.799999999999999,48.8,17.1,22.3,77.0,52.800000000000004,25.2,11.7,43.6,98.1,2.07,106.1,103.8,91.9,12.9,28.2,Knocked Out
New Orleans Pelicans,29.1,47,35,2003,True,35.5,81.6,43.5,30.6,68.5,44.7,4.9,13.1,37.6,16.1,46.5,17.9,23.3,76.8,51.1,22.0,13.4,43.6,93.9,2.11,103.9,101.6,89.4,13.9,31.7,Knocked Out
Houston Rockets,25.9,43,39,2003,False,34.6,78.8,44.0,29.3,63.3,46.2,5.4,15.5,34.599999999999994,19.6,47.4,19.1,24.9,76.8,52.2,18.4,12.5,43.8,93.8,1.48,104.3,102.6,88.8,14.8,30.3,Never Qualified
Phoenix Suns,25.2,44,38,2003,True,36.6,82.6,44.3,31.8,68.6,46.400000000000006,4.8,14.0,34.300000000000004,17.0,47.3,17.4,23.5,74.2,51.4,21.0,12.8,42.5,95.5,1.13,103.7,102.5,91.5,13.7,29.7,Knocked Out
Orlando Magic,26.9,42,40,2003,True,35.9,82.5,43.6,29.0,63.1,46.0,6.9,19.4,35.699999999999996,23.5,47.8,19.7,25.4,77.7,52.6,20.4,11.7,40.9,98.5,0.13,105.2,105.0,93.1,13.3,27.0,Knocked Out
Milwaukee Bucks,29.3,42,40,2003,True,37.1,81.3,45.7,30.0,62.7,47.8,7.1,18.6,38.3,22.900000000000002,50.0,18.1,23.3,77.60000000000001,54.300000000000004,22.2,10.7,39.5,99.5,0.23,108.8,108.6,90.4,12.2,25.6,Knocked Out
Oklahoma City Thunder,26.9,40,42,2003,False,35.2,80.5,43.7,29.6,64.7,45.800000000000004,5.6,15.7,35.3,19.6,47.199999999999996,16.2,21.7,74.4,51.2,21.6,11.7,40.8,92.1,-0.12,103.7,103.9,88.0,12.8,28.1,Never Qualified
Boston Celtics,26.9,44,38,2003,True,32.9,79.4,41.5,24.2,53.1,45.5,8.8,26.3,33.4,33.1,47.0,18.0,24.3,74.2,51.4,19.2,10.4,40.5,92.7,-0.39,101.2,101.6,90.9,13.4,23.6,Knocked Out
Washington Wizards,28.4,37,45,2003,False,34.3,78.0,44.0,31.3,68.1,45.9,3.1,9.9,31.2,12.7,46.0,19.7,25.3,77.9,51.300000000000004,19.7,11.2,40.4,91.5,-1.01,103.0,104.1,88.2,13.0,27.3,Never Qualified
Golden State Warriors,24.4,38,44,2003,False,37.3,84.6,44.1,32.1,69.6,46.2,5.2,15.1,34.4,17.8,47.199999999999996,22.6,29.0,77.8,52.6,20.9,15.7,46.7,102.4,-1.13,108.3,109.5,94.2,13.9,35.0,Never Qualified
New York Knicks,30.2,37,45,2003,False,36.2,82.0,44.1,28.8,62.7,45.9,7.4,19.3,38.3,23.5,48.6,16.1,19.8,81.5,52.800000000000004,22.0,10.3,39.2,95.9,-1.35,104.7,106.2,90.7,13.4,24.4,Never Qualified
Memphis Grizzlies,24.9,28,54,2003,False,37.2,82.2,45.2,31.5,66.6,47.3,5.7,15.6,36.5,19.0,48.699999999999996,17.4,23.6,73.9,52.6,23.1,11.5,41.6,97.5,-3.23,103.9,107.3,92.7,14.2,27.0,Never Qualified
Atlanta Hawks,27.2,35,47,2003,False,34.9,78.5,44.4,30.0,64.5,46.400000000000006,4.9,13.9,35.199999999999996,17.7,47.599999999999994,19.4,24.5,79.3,52.7,20.5,11.4,42.6,94.1,-3.56,102.3,106.1,91.0,15.7,27.9,Never Qualified
Los Angeles Clippers,25.3,27,55,2003,False,34.6,79.1,43.7,29.8,64.8,46.0,4.8,14.4,33.1,18.2,46.7,19.9,26.5,75.0,51.6,19.6,12.3,42.3,93.8,-4.12,102.3,106.8,91.3,14.8,29.1,Never Qualified
Chicago Bulls,25.2,30,52,2003,False,36.5,81.9,44.5,32.2,69.7,46.2,4.3,12.2,35.0,14.799999999999999,47.099999999999994,17.7,24.6,72.2,51.2,21.7,12.0,43.0,95.0,-5.13,100.2,105.6,93.5,15.4,27.7,Never Qualified
Miami Heat,26.5,25,57,2003,False,32.8,79.5,41.199999999999996,28.5,66.1,43.2,4.2,13.4,31.6,16.900000000000002,43.9,15.8,20.6,76.5,48.3,18.3,11.6,41.6,85.6,-5.05,96.7,102.4,87.8,13.8,26.8,Never Qualified
Toronto Raptors,27.6,24,58,2003,False,34.7,81.3,42.699999999999996,29.7,66.7,44.6,5.0,14.5,34.300000000000004,17.9,45.800000000000004,16.5,22.9,71.8,49.7,19.3,12.5,41.2,90.9,-5.87,100.5,107.0,89.9,13.6,28.2,Never Qualified
Denver Nuggets,24.1,17,65,2003,False,32.8,79.8,41.099999999999994,30.0,69.8,43.0,2.8,10.0,27.800000000000004,12.6,42.8,15.8,22.6,69.89999999999999,46.9,21.2,13.6,42.4,84.2,-8.28,92.2,101.3,91.0,17.1,31.3,Never Qualified
Cleveland Cavaliers,23.5,17,65,2003,False,34.8,82.3,42.199999999999996,31.2,71.3,43.7,3.6,10.9,32.7,13.3,44.4,18.3,24.5,74.7,49.1,20.9,13.6,44.6,91.4,-9.62,96.5,106.7,94.0,16.4,31.0,Never Qualified
San Antonio Spurs,27.3,57,25,2004,True,34.7,78.5,44.2,29.7,64.6,46.0,5.0,13.9,35.8,17.7,47.3,17.2,25.2,68.10000000000001,51.1,20.4,12.5,45.1,91.5,7.22,102.2,94.1,89.2,14.1,29.5,Knocked Out
Detroit Pistons,27.4,54,28,2004,True,33.5,77.0,43.5,29.4,65.2,45.2,4.1,11.8,34.4,15.299999999999999,46.1,19.0,25.3,75.3,51.1,20.8,12.4,42.8,90.1,5.84,102.0,95.4,87.9,14.7,30.1,Champion
Indiana Pacers,27.1,61,21,2004,True,33.6,77.1,43.5,28.1,61.5,45.7,5.5,15.6,35.099999999999994,20.3,47.099999999999994,18.8,24.6,76.4,52.0,21.6,11.8,41.7,91.4,5.76,103.8,97.2,87.5,14.1,28.5,Knocked Out
Minnesota Timberwolves,29.7,58,24,2004,True,37.0,80.1,46.2,33.0,69.2,47.699999999999996,4.0,10.9,36.3,13.700000000000001,48.6,16.6,21.3,78.10000000000001,52.800000000000004,23.0,10.7,42.9,94.5,5.49,105.9,99.7,89.0,12.4,26.7,Knocked Out
Sacramento Kings,29.3,55,27,2004,True,37.8,81.8,46.2,30.5,63.6,48.0,7.3,18.3,40.1,22.3,50.7,19.8,24.9,79.5,55.400000000000006,26.2,10.8,41.2,102.8,5.01,110.3,104.9,92.8,13.0,26.0,Knocked Out
Dallas Mavericks,27.4,52,30,2004,True,40.5,88.2,45.9,34.3,70.4,48.8,6.2,17.8,34.8,20.1,49.5,18.0,22.6,79.60000000000001,53.6,23.9,14.3,45.3,105.2,4.44,112.1,107.4,93.2,11.1,31.4,Knocked Out
Los Angeles Lakers,29.8,56,26,2004,True,36.9,81.4,45.4,32.5,67.8,47.9,4.5,13.6,32.7,16.7,48.1,19.9,28.7,69.3,52.2,23.8,12.2,43.1,98.2,3.9,105.5,101.3,92.3,12.8,28.1,Runner-Up
Brooklyn Nets,27.7,47,35,2004,True,34.3,77.7,44.1,29.7,64.0,46.400000000000006,4.6,13.7,33.6,17.599999999999998,47.099999999999994,17.0,22.6,75.3,51.5,24.5,10.5,40.7,90.3,2.5,100.8,98.0,89.4,14.4,25.9,Knocked Out
Memphis Grizzlies,26.0,50,32,2004,True,36.1,81.2,44.5,30.7,65.2,47.099999999999994,5.5,16.0,34.0,19.7,47.9,19.0,26.1,72.7,52.2,23.4,12.8,41.8,96.7,2.44,104.8,102.2,91.4,13.9,29.5,Knocked Out
Houston Rockets,28.3,45,37,2004,True,33.4,75.5,44.2,27.1,58.4,46.400000000000006,6.3,17.1,36.6,22.7,48.4,16.7,21.6,77.3,52.800000000000004,19.3,10.3,42.6,89.8,1.73,100.9,99.0,87.8,16.4,26.5,Knocked Out
Denver Nuggets,25.6,43,39,2004,True,36.5,82.5,44.3,32.5,70.5,46.1,4.0,12.0,33.6,14.6,46.7,20.2,26.3,76.7,51.7,21.9,13.2,42.3,97.2,1.07,103.9,102.7,93.3,14.2,30.5,Knocked Out
Milwaukee Bucks,26.5,41,41,2004,True,36.2,81.1,44.7,31.3,67.1,46.7,4.9,14.0,35.0,17.2,47.699999999999996,20.7,26.7,77.5,52.800000000000004,22.8,11.7,42.2,98.0,1.06,106.5,105.4,91.6,12.7,27.6,Knocked Out
Miami Heat,26.4,42,40,2004,True,33.3,78.3,42.5,27.4,61.7,44.3,5.9,16.5,35.699999999999996,21.099999999999998,46.300000000000004,17.8,23.4,76.2,51.0,19.1,11.5,41.5,90.3,0.52,102.2,101.7,88.0,13.5,27.4,Knocked Out
New Orleans Pelicans,30.3,41,41,2004,True,33.8,80.5,42.0,27.3,60.2,45.4,6.5,20.3,31.900000000000002,25.2,46.0,17.7,23.6,75.1,50.5,20.9,13.3,42.8,91.8,-0.1,102.3,102.4,89.1,14.1,30.6,Knocked Out
Oklahoma City Thunder,26.0,37,45,2004,False,35.8,80.4,44.6,27.0,56.8,47.599999999999994,8.8,23.6,37.3,29.4,50.1,16.6,21.7,76.5,54.0,21.7,11.1,39.3,97.1,-0.63,107.3,108.0,89.9,13.9,27.2,Never Qualified
Golden State Warriors,28.1,37,45,2004,False,35.1,79.4,44.2,29.8,63.8,46.800000000000004,5.2,15.6,33.4,19.7,47.5,17.9,24.7,72.5,51.7,20.5,12.2,43.1,93.3,-0.73,103.0,103.8,89.8,14.1,28.4,Never Qualified
Portland Trail Blazers,27.6,41,41,2004,False,35.3,78.9,44.800000000000004,30.7,65.4,46.9,4.6,13.4,34.599999999999994,17.0,47.8,15.4,21.1,73.1,51.5,21.6,12.7,41.7,90.7,-1.27,103.7,105.1,86.2,14.4,31.2,Never Qualified
Utah Jazz,24.9,42,40,2004,False,32.8,75.3,43.6,29.7,65.7,45.300000000000004,3.1,9.6,32.1,12.7,45.6,20.0,26.8,74.6,50.9,20.4,13.5,41.2,88.7,-1.22,101.9,103.3,86.6,16.1,34.1,Never Qualified
Boston Celtics,26.4,36,46,2004,True,34.7,78.2,44.3,27.9,58.7,47.5,6.7,19.5,34.599999999999994,24.9,48.6,19.2,25.5,75.0,53.2,20.5,10.4,40.1,95.3,-1.45,102.1,103.7,93.2,15.4,25.2,Knocked Out
New York Knicks,29.6,39,43,2004,True,35.1,79.4,44.2,30.2,65.8,45.9,5.0,13.6,36.4,17.1,47.4,16.8,21.1,79.3,51.800000000000004,20.7,11.6,42.6,92.0,-1.48,101.7,103.3,89.5,15.1,28.0,Knocked Out
Philadelphia 76ers,27.5,33,49,2004,False,32.7,76.3,42.8,28.6,64.2,44.5,4.1,12.1,34.2,15.8,45.6,18.4,24.5,75.3,50.5,20.0,11.5,40.8,88.0,-2.49,99.1,101.9,88.0,15.5,28.2,Never Qualified
Cleveland Cavaliers,24.9,35,47,2004,False,35.6,82.4,43.3,32.6,72.8,44.800000000000004,3.0,9.6,31.4,11.600000000000001,45.1,18.6,24.8,75.3,49.8,22.0,13.6,45.6,92.9,-2.62,101.4,104.2,90.8,13.7,31.1,Never Qualified
Toronto Raptors,27.6,33,49,2004,False,32.4,77.4,41.8,26.7,61.6,43.4,5.6,15.8,35.6,20.4,45.4,15.1,20.1,75.0,49.5,19.2,10.1,39.6,85.4,-3.01,97.0,100.4,86.8,14.1,23.8,Never Qualified
Phoenix Suns,24.4,29,53,2004,False,36.1,81.4,44.3,31.0,66.7,46.5,5.1,14.7,34.5,18.0,47.5,17.0,22.7,74.6,51.5,19.3,11.3,40.6,94.2,-3.74,101.4,105.5,92.6,14.3,26.6,Never Qualified
Los Angeles Clippers,24.3,28,54,2004,False,34.4,80.2,42.8,30.3,67.7,44.800000000000004,4.0,12.5,32.1,15.6,45.300000000000004,22.0,28.1,78.5,51.2,20.2,14.0,43.5,94.8,-4.59,103.5,108.5,91.0,15.0,32.8,Never Qualified
Atlanta Hawks,26.2,28,54,2004,False,34.5,79.6,43.3,29.4,64.4,45.6,5.1,15.2,33.5,19.1,46.5,18.7,24.1,77.60000000000001,51.4,20.1,12.1,42.7,92.8,-4.65,101.0,106.1,90.8,15.4,28.6,Never Qualified
Washington Wizards,24.4,25,57,2004,False,33.6,80.0,42.1,28.4,64.5,44.0,5.3,15.5,34.1,19.400000000000002,45.4,19.3,27.0,71.39999999999999,50.0,18.7,13.6,42.8,91.8,-5.63,98.8,104.8,92.2,16.0,30.7,Never Qualified
Chicago Bulls,26.8,23,59,2004,False,34.1,82.4,41.4,28.9,67.0,43.1,5.2,15.3,34.2,18.6,44.6,16.2,22.4,72.5,48.6,21.9,12.8,43.5,89.7,-6.35,96.6,103.4,92.2,14.9,28.1,Never Qualified
Orlando Magic,25.8,21,61,2004,False,35.4,82.5,42.9,30.2,67.3,44.800000000000004,5.2,15.2,34.4,18.4,46.1,18.0,24.4,73.7,50.4,19.3,12.2,40.9,94.0,-7.02,102.7,110.4,90.8,12.8,28.1,Never Qualified
San Antonio Spurs,28.5,59,23,2005,True,35.6,78.7,45.300000000000004,29.5,61.6,47.8,6.2,17.0,36.3,21.6,49.2,18.7,25.9,72.39999999999999,53.400000000000006,21.6,12.0,42.4,96.2,7.8,107.5,98.8,88.9,13.2,29.1,Champion
Phoenix Suns,25.2,62,20,2005,True,40.9,85.6,47.699999999999996,31.2,60.9,51.2,9.7,24.7,39.300000000000004,28.9,53.400000000000006,19.0,25.4,74.8,57.099999999999994,23.5,11.8,44.1,110.4,7.12,114.5,107.1,95.9,12.4,27.5,Knocked Out
Miami Heat,28.0,59,23,2005,True,37.8,77.7,48.6,32.0,62.3,51.300000000000004,5.8,15.4,37.7,19.8,52.400000000000006,20.2,30.1,67.2,55.900000000000006,21.8,10.8,43.0,101.5,6.52,110.2,103.1,90.8,13.1,27.0,Knocked Out
Dallas Mavericks,27.7,58,24,2005,True,37.3,81.6,45.7,31.6,66.1,47.9,5.6,15.5,36.4,19.0,49.2,22.3,28.2,78.9,54.50000000000001,19.6,12.1,42.9,102.5,5.74,110.3,104.1,92.7,12.5,28.6,Knocked Out
Houston Rockets,29.7,51,31,2005,True,34.7,78.3,44.3,28.0,59.7,46.800000000000004,6.7,18.5,36.4,23.7,48.6,18.9,24.2,78.10000000000001,53.400000000000006,21.1,10.7,42.4,95.1,4.04,106.2,101.7,88.8,13.5,26.3,Knocked Out
Detroit Pistons,27.9,54,28,2005,True,34.8,78.3,44.4,30.3,65.5,46.300000000000004,4.4,12.8,34.5,16.400000000000002,47.199999999999996,19.4,26.2,73.9,51.9,21.8,12.9,43.4,93.3,3.87,105.6,101.2,87.2,13.3,31.2,Runner-Up
Oklahoma City Thunder,26.0,52,30,2005,True,35.1,79.2,44.4,27.0,57.0,47.4,8.1,22.2,36.5,28.1,49.5,20.5,26.0,79.0,54.6,18.1,12.7,40.9,98.9,2.29,112.2,109.6,87.9,13.0,32.4,Knocked Out
Memphis Grizzlies,26.3,45,37,2005,True,34.2,76.5,44.7,27.7,58.4,47.5,6.5,18.1,35.699999999999996,23.7,48.9,18.6,24.7,75.4,53.5,20.9,10.8,39.0,93.4,2.29,105.5,102.9,88.5,14.3,27.1,Knocked Out
Sacramento Kings,27.7,50,32,2005,True,39.1,85.1,45.9,32.7,68.1,48.0,6.4,17.0,37.4,20.0,49.6,19.2,24.4,78.7,54.1,24.5,12.5,42.4,103.7,2.16,110.5,108.2,93.0,12.0,28.8,Knocked Out
Denver Nuggets,26.7,49,33,2005,True,37.0,80.7,45.9,33.1,69.2,47.9,3.9,11.5,34.0,14.2,48.3,21.5,28.2,76.3,53.5,23.9,11.8,42.0,99.5,2.02,106.0,103.9,93.5,13.8,28.4,Knocked Out
Minnesota Timberwolves,29.0,44,38,2005,False,37.1,80.8,45.9,32.3,66.9,48.3,4.8,14.0,34.5,17.299999999999997,48.9,17.7,22.2,79.60000000000001,53.400000000000006,23.4,11.5,43.0,96.8,1.45,108.2,106.6,89.1,12.7,28.6,Never Qualified
Chicago Bulls,25.0,47,35,2005,True,34.7,80.4,43.2,28.5,62.9,45.300000000000004,6.2,17.5,35.699999999999996,21.7,47.099999999999994,18.7,25.0,75.0,51.7,21.3,12.2,43.8,94.5,1.06,101.4,100.3,92.4,15.5,28.4,Knocked Out
Boston Celtics,27.1,45,37,2005,True,37.1,79.4,46.800000000000004,31.8,64.1,49.6,5.3,15.3,34.9,19.2,50.1,21.6,28.3,76.4,55.1,22.1,11.1,40.8,101.3,0.87,107.5,106.6,93.3,14.7,27.2,Knocked Out
Cleveland Cavaliers,26.5,42,40,2005,False,36.5,81.5,44.7,32.8,70.5,46.5,3.7,11.0,33.2,13.5,47.0,19.9,26.5,75.2,51.800000000000004,22.6,13.6,42.3,96.5,0.79,106.6,105.7,89.7,13.0,32.5,Never Qualified
Indiana Pacers,28.3,44,38,2005,True,32.5,75.2,43.2,25.9,56.0,46.300000000000004,6.6,19.2,34.4,25.5,47.599999999999994,21.3,26.9,79.2,53.400000000000006,18.2,10.6,40.1,93.0,0.76,105.5,104.6,87.2,14.1,26.4,Knocked Out
Washington Wizards,25.3,45,37,2005,True,36.2,82.9,43.7,29.9,64.6,46.300000000000004,6.3,18.3,34.300000000000004,22.0,47.4,21.9,30.2,72.5,52.300000000000004,19.1,13.8,42.8,100.5,-0.33,107.2,107.5,93.3,12.9,31.1,Knocked Out
Philadelphia 76ers,26.4,43,39,2005,True,35.9,82.1,43.7,29.8,64.4,46.2,6.2,17.7,34.8,21.6,47.5,21.1,26.8,78.9,52.800000000000004,20.9,11.1,42.0,99.1,-0.74,103.5,104.3,94.9,14.2,25.4,Knocked Out
Los Angeles Clippers,25.5,37,45,2005,False,35.7,77.7,45.9,32.8,69.5,47.3,2.8,8.2,34.5,10.5,47.699999999999996,21.6,27.7,77.8,53.300000000000004,23.2,12.0,41.9,95.7,-0.77,105.5,106.4,89.1,14.9,30.3,Never Qualified
Brooklyn Nets,27.8,42,40,2005,True,33.6,78.3,42.9,28.3,63.6,44.4,5.3,14.7,36.199999999999996,18.7,46.300000000000004,19.0,24.9,76.3,51.2,21.6,10.4,39.5,91.4,-1.5,101.4,103.1,89.1,13.7,25.5,Knocked Out
Toronto Raptors,27.0,33,49,2005,False,36.0,81.2,44.4,28.1,60.7,46.300000000000004,7.9,20.5,38.5,25.3,49.2,19.8,25.6,77.4,53.900000000000006,20.4,10.3,40.1,99.7,-1.62,106.9,108.7,92.7,12.5,23.7,Never Qualified
Golden State Warriors,26.7,34,48,2005,False,36.9,85.8,43.0,29.3,64.2,45.7,7.6,21.6,35.199999999999996,25.2,47.5,17.2,23.8,72.2,51.2,22.1,13.0,42.7,98.7,-2.16,104.7,106.9,93.3,12.3,27.8,Never Qualified
Orlando Magic,26.5,36,46,2005,False,37.0,81.5,45.4,33.1,70.3,47.099999999999994,3.9,11.2,34.9,13.700000000000001,47.8,21.6,28.5,75.9,52.900000000000006,19.3,12.7,43.7,99.5,-2.24,104.9,107.3,94.7,14.6,29.9,Never Qualified
New York Knicks,27.3,33,49,2005,False,36.3,80.5,45.1,30.9,65.4,47.3,5.4,15.1,35.6,18.8,48.5,19.3,25.1,76.7,53.1,20.3,11.8,41.0,97.3,-2.44,106.2,108.9,90.7,13.8,28.3,Never Qualified
Milwaukee Bucks,26.9,30,52,2005,False,36.1,80.2,45.0,32.2,69.0,46.7,4.0,11.3,35.099999999999994,14.099999999999998,47.5,21.0,27.2,77.2,52.7,21.0,12.0,41.3,97.2,-2.99,106.6,109.8,90.8,13.0,29.0,Never Qualified
Los Angeles Lakers,26.0,34,48,2005,False,35.3,80.8,43.7,27.5,58.7,46.7,7.9,22.1,35.5,27.3,48.5,20.3,26.1,77.7,53.5,20.4,12.5,43.2,98.7,-2.96,108.1,111.4,90.8,13.4,29.5,Never Qualified
Portland Trail Blazers,27.0,27,55,2005,False,35.3,78.3,45.1,30.2,64.2,47.099999999999994,5.1,14.2,36.199999999999996,18.099999999999998,48.4,17.2,23.7,72.5,52.400000000000006,21.0,11.8,41.1,92.9,-4.0,103.2,107.7,89.8,15.2,29.6,Never Qualified
Utah Jazz,25.7,26,56,2005,False,34.5,76.8,44.9,31.4,67.5,46.5,3.0,9.3,32.800000000000004,12.1,46.9,21.0,27.7,75.7,52.2,22.3,12.8,40.1,93.0,-4.27,104.7,109.5,88.4,15.0,31.9,Never Qualified
Charlotte Hornets,24.9,18,64,2005,False,36.1,83.6,43.2,32.2,72.9,44.2,3.9,10.7,36.3,12.8,45.5,18.1,25.6,70.89999999999999,49.7,21.9,13.2,41.7,94.3,-5.99,101.1,107.5,92.3,13.3,29.5,Never Qualified
New Orleans Pelicans,27.5,18,64,2005,False,33.1,80.0,41.5,28.1,63.9,44.0,5.1,16.0,31.5,20.1,44.6,17.1,22.3,76.6,49.3,21.0,12.4,40.2,88.4,-7.07,99.7,107.7,87.6,14.2,29.1,Never Qualified
Atlanta Hawks,26.0,13,69,2005,False,35.9,81.4,44.1,32.2,69.5,46.300000000000004,3.7,11.9,31.2,14.6,46.400000000000006,17.3,24.3,71.1,50.4,19.7,13.4,41.9,92.7,-9.71,100.6,111.1,91.4,14.9,30.7,Never Qualified
San Antonio Spurs,29.8,63,19,2006,True,36.5,77.3,47.199999999999996,30.1,60.7,49.6,6.4,16.6,38.5,21.5,51.300000000000004,16.2,23.1,70.19999999999999,54.6,20.9,10.4,41.5,95.6,6.82,107.3,99.6,88.5,13.6,26.0,Knocked Out
Detroit Pistons,28.5,64,18,2006,True,36.4,80.0,45.5,29.6,62.3,47.5,6.8,17.7,38.4,22.1,49.7,17.3,23.8,72.7,53.5,24.0,11.9,40.5,96.8,6.67,110.8,103.1,86.8,11.2,28.9,Knocked Out
Dallas Mavericks,27.5,60,22,2006,True,36.0,77.7,46.2,30.9,64.2,48.1,5.1,13.6,37.4,17.5,49.5,22.2,28.3,78.3,55.00000000000001,18.0,12.6,42.2,99.1,6.07,111.8,105.0,87.8,13.1,31.8,Runner-Up
Phoenix Suns,27.5,54,28,2006,True,41.8,87.4,47.9,31.6,61.8,51.1,10.2,25.6,39.900000000000006,29.299999999999997,53.7,14.5,18.0,80.60000000000001,56.8,26.6,9.5,41.8,108.4,5.55,111.5,105.8,95.8,12.2,22.1,Knocked Out
Memphis Grizzlies,28.1,49,33,2006,True,33.5,74.7,44.800000000000004,26.3,55.5,47.4,7.2,19.2,37.4,25.8,49.6,18.0,25.3,71.1,53.7,19.3,10.2,39.2,92.2,3.7,105.9,101.6,86.3,13.9,25.8,Knocked Out
Miami Heat,29.2,52,30,2006,True,37.1,77.5,47.8,31.0,59.9,51.7,6.1,17.6,34.5,22.7,51.7,19.7,28.2,70.0,55.60000000000001,20.6,10.5,43.1,99.9,3.87,108.7,104.5,91.6,13.9,26.7,Champion
Los Angeles Lakers,25.1,45,37,2006,True,36.5,80.6,45.300000000000004,29.8,61.3,48.6,6.7,19.3,34.9,24.0,49.5,19.7,26.5,74.5,53.900000000000006,21.1,11.8,42.2,99.4,2.5,108.4,105.7,90.9,13.1,28.8,Knocked Out
