Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
Oklahoma City Thunder,26.1,39,43,1987,True,43.8,90.9,48.199999999999996,41.5,83.9,49.4,2.3,7.0,33.5,7.7,49.5,23.8,31.4,75.8,54.300000000000004,26.6,16.7,46.0,113.7,0.46,110.7,110.3,101.8,15.0,37.6,Knocked Out
Philadelphia 76ers,26.6,45,37,1987,True,40.7,82.8,49.1,39.6,78.7,50.3,1.1,4.1,25.900000000000002,5.0,49.7,24.0,31.9,75.3,54.900000000000006,23.7,14.4,42.7,106.5,-0.2,108.3,108.5,97.3,16.1,34.9,Knocked Out
Indiana Pacers,25.9,41,41,1987,True,42.1,89.3,47.199999999999996,41.0,85.5,47.9,1.1,3.9,29.7,4.3,47.8,20.7,26.5,78.2,52.5,26.5,13.8,43.9,106.1,-0.65,106.0,106.6,98.8,13.4,30.5,Knocked Out
Denver Nuggets,28.2,37,45,1987,True,45.7,97.0,47.099999999999994,44.4,92.2,48.1,1.3,4.8,27.1,4.9,47.8,24.1,31.3,76.9,52.7,28.3,15.8,44.7,116.7,-0.87,109.3,110.2,106.2,11.8,32.2,Knocked Out
Washington Wizards,25.9,42,40,1987,True,40.9,90.2,45.4,40.4,87.5,46.1,0.5,2.7,19.7,2.9000000000000004,45.7,23.6,30.9,76.5,51.1,21.3,15.9,44.1,106.0,-1.37,105.7,107.0,100.2,13.3,34.5,Knocked Out
Phoenix Suns,26.0,36,46,1987,False,43.6,87.7,49.7,42.9,84.6,50.6,0.7,3.1,24.2,3.5000000000000004,50.1,23.2,30.5,76.0,55.00000000000001,28.7,13.6,42.4,111.1,-2.44,108.0,110.3,102.0,15.3,32.1,Never Qualified
Golden State Warriors,26.9,42,40,1987,True,43.3,90.4,47.9,41.9,86.0,48.699999999999996,1.4,4.4,31.900000000000002,4.9,48.699999999999996,24.0,30.8,78.0,53.900000000000006,25.4,14.5,43.2,112.0,-2.34,108.9,111.2,101.7,13.7,32.5,Knocked Out
Sacramento Kings,26.3,29,53,1987,False,43.0,90.4,47.5,42.0,86.7,48.5,0.9,3.7,25.1,4.1000000000000005,48.0,24.1,30.2,79.60000000000001,53.5,26.6,15.6,45.4,110.9,-3.22,108.9,112.1,101.3,14.2,35.2,Never Qualified
Cleveland Cavaliers,24.6,31,51,1987,False,40.8,86.9,47.0,39.9,82.7,48.199999999999996,1.0,4.1,24.0,4.7,47.599999999999994,21.7,31.1,69.69999999999999,51.9,23.3,15.3,44.8,104.4,-3.82,102.6,106.4,101.3,16.4,34.4,Never Qualified
Brooklyn Nets,26.2,24,58,1987,False,41.1,86.4,47.599999999999994,39.4,80.9,48.699999999999996,1.8,5.5,32.300000000000004,6.3,48.699999999999996,24.4,31.8,76.7,54.0,24.3,14.3,43.6,108.5,-5.05,105.6,110.5,101.8,16.4,33.2,Never Qualified
