Team,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,ORB,TRB,AST,TOV,PTS,Year,Playoff,Finals_Rk
San Antonio Spurs,3856,7738,49.8,3804,7532,50.5,52,206,25.2,2024,2528,1153,3668,2326,1589,9788,1980,True,Knocked Out
Los Angeles Lakers,3898,7368,52.900000000000006,3878,7268,53.400000000000006,20,100,20.0,1622,2092,1085,3738,2413,1639,9438,1980,True,Champion
Cleveland Cavaliers,3811,8041,47.4,3775,7854,48.1,36,187,19.3,1702,2205,1307,3688,2108,1370,9360,1980,False,Never Qualified
New York Knicks,3802,7672,49.6,3760,7481,50.3,42,191,22.0,1698,2274,1236,3539,2265,1613,9344,1980,False,Never Qualified
Boston Celtics,3617,7387,49.0,3455,6965,49.6,162,422,38.4,1907,2449,1227,3684,2198,1539,9303,1980,True,Knocked Out
Indiana Pacers,3639,7689,47.3,3551,7375,48.1,88,314,28.000000000000004,1753,2333,1398,3724,2148,1517,9119,1980,False,Never Qualified
Phoenix Suns,3570,7235,49.3,3502,6955,50.4,68,280,24.3,1906,2466,1071,3529,2283,1629,9114,1980,True,Knocked Out
Houston Rockets,3599,7496,48.0,3495,7117,49.1,104,379,27.400000000000002,1782,2326,1394,3611,2149,1565,9084,1980,True,Knocked Out
Milwaukee Bucks,3685,7553,48.8,3635,7398,49.1,50,155,32.300000000000004,1605,2102,1245,3641,2277,1496,9025,1980,True,Knocked Out
Philadelphia 76ers,3523,7156,49.2,3496,7031,49.7,27,125,21.6,1876,2431,1187,3822,2226,1708,8949,1980,True,Runner-Up
Detroit Pistons,3643,7596,48.0,3586,7377,48.6,57,219,26.0,1590,2149,1226,3641,1950,1742,8933,1980,False,Never Qualified
Oklahoma City Thunder,3554,7565,47.0,3495,7376,47.4,59,189,31.2,1730,2253,1380,3930,2043,1496,8897,1980,True,Knocked Out
Brooklyn Nets,3456,7504,46.1,3371,7206,46.800000000000004,85,298,28.499999999999996,1882,2406,1229,3764,2094,1702,8879,1980,False,Never Qualified
Denver Nuggets,3462,7470,46.300000000000004,3379,7215,46.800000000000004,83,255,32.5,1871,2539,1311,3835,2079,1533,8878,1980,False,Never Qualified
Sacramento Kings,3582,7489,47.8,3557,7375,48.199999999999996,25,114,21.9,1671,2250,1187,3616,2123,1439,8860,1980,True,Knocked Out
Los Angeles Clippers,3524,7494,47.0,3347,6951,48.199999999999996,177,543,32.6,1595,2167,1294,3602,1688,1443,8820,1980,False,Never Qualified
Chicago Bulls,3362,6943,48.4,3292,6668,49.4,70,275,25.5,2019,2592,1115,3580,2152,1684,8813,1980,False,Never Qualified
Washington Wizards,3574,7796,45.800000000000004,3501,7558,46.300000000000004,73,238,30.7,1552,2048,1334,4057,2201,1380,8773,1980,True,Knocked Out
Atlanta Hawks,3261,7027,46.400000000000006,3248,6952,46.7,13,75,17.299999999999997,2038,2645,1369,3775,1913,1495,8573,1980,True,Knocked Out
Golden State Warriors,3527,7318,48.199999999999996,3500,7197,48.6,27,121,22.3,1412,1914,1155,3592,2028,1492,8493,1980,False,Never Qualified
Portland Trail Blazers,3408,7167,47.599999999999994,3382,7035,48.1,26,132,19.7,1560,2100,1295,3703,1898,1552,8402,1980,True,Knocked Out
Utah Jazz,3382,6817,49.6,3323,6632,50.1,59,185,31.900000000000002,1571,1943,967,3326,2005,1543,8394,1980,False,Never Qualified
Denver Nuggets,3784,7960,47.5,3754,7815,48.0,30,145,20.7,2388,3051,1325,3822,2030,1444,9986,1981,False,Never Qualified
Milwaukee Bucks,3722,7472,49.8,3692,7341,50.3,30,131,22.900000000000002,1802,2340,1261,3669,2319,1581,9276,1981,True,Knocked Out
San Antonio Spurs,3571,7276,49.1,3556,7191,49.5,15,85,17.599999999999998,2052,2668,1304,3886,2048,1533,9209,1981,True,Knocked Out
Philadelphia 76ers,3636,7073,51.4,3617,6989,51.800000000000004,19,84,22.6,1865,2427,1091,3709,2369,1702,9156,1981,True,Knocked Out
Los Angeles Lakers,3780,7382,51.2,3763,7288,51.6,17,94,18.099999999999998,1540,2113,1165,3656,2363,1557,9117,1981,True,Knocked Out
Portland Trail Blazers,3741,7535,49.6,3716,7387,50.3,25,148,16.900000000000002,1573,2191,1243,3631,2244,1518,9080,1981,True,Knocked Out
Phoenix Suns,3587,7326,49.0,3552,7165,49.6,35,161,21.7,1810,2430,1234,3724,2205,1733,9019,1981,True,Knocked Out
Boston Celtics,3581,7099,50.4,3516,6858,51.300000000000004,65,241,27.0,1781,2369,1155,3579,2202,1577,9008,1981,True,Champion
Golden State Warriors,3560,7284,48.9,3500,7074,49.5,60,210,28.599999999999998,1826,2513,1403,3769,2026,1547,9006,1981,False,Never Qualified
Chicago Bulls,3457,6903,50.1,3419,6724,50.8,38,179,21.2,1985,2563,1227,3702,1925,1672,8937,1981,True,Knocked Out
Houston Rockets,3573,7335,48.699999999999996,3552,7217,49.2,21,118,17.8,1711,2223,1216,3563,2099,1451,8878,1981,True,Runner-Up
New York Knicks,3505,7255,48.3,3449,7019,49.1,56,236,23.7,1783,2386,1137,3342,1976,1461,8849,1981,True,Knocked Out
Indiana Pacers,3491,7245,48.199999999999996,3461,7076,48.9,30,169,17.8,1815,2540,1325,3592,2091,1491,8827,1981,True,Knocked Out
Sacramento Kings,3572,7151,50.0,3523,6983,50.5,49,168,29.2,1576,2206,1037,3487,2271,1448,8769,1981,True,Knocked Out
Brooklyn Nets,3477,7314,47.5,3443,7176,48.0,34,138,24.6,1780,2371,1092,3466,2068,1664,8768,1981,False,Never Qualified
Los Angeles Clippers,3477,7283,47.699999999999996,3345,6876,48.6,132,407,32.4,1651,2246,1169,3313,2098,1407,8737,1981,False,Never Qualified
Cleveland Cavaliers,3556,7609,46.7,3484,7360,47.3,72,249,28.9,1486,1909,1258,3501,2007,1396,8670,1981,False,Never Qualified
Washington Wizards,3549,7517,47.199999999999996,3484,7276,47.9,65,241,27.0,1499,2072,1155,3688,2151,1422,8662,1981,False,Never Qualified
Atlanta Hawks,3291,6866,47.9,3281,6784,48.4,10,82,12.2,2012,2590,1201,3425,1846,1605,8604,1981,False,Never Qualified
Oklahoma City Thunder,3343,7145,46.800000000000004,3311,7028,47.099999999999994,32,117,27.400000000000002,1813,2376,1167,3601,1945,1524,8531,1981,False,Never Qualified
Dallas Mavericks,3204,6928,46.2,3158,6763,46.7,46,165,27.900000000000002,1868,2487,1109,3286,1984,1439,8322,1981,False,Never Qualified
Utah Jazz,3332,6825,48.8,3290,6662,49.4,42,163,25.8,1595,2080,962,3287,1948,1423,8301,1981,False,Never Qualified
Detroit Pistons,3236,6986,46.300000000000004,3223,6902,46.7,13,84,15.5,1689,2330,1201,3312,1819,1759,8174,1981,False,Never Qualified
Denver Nuggets,3980,7656,52.0,3940,7507,52.5,40,149,26.8,2371,2978,1149,3592,2272,1470,10371,1982,True,Knocked Out
Los Angeles Lakers,3919,7585,51.7,3906,7491,52.1,13,94,13.8,1549,2161,1258,3763,2356,1468,9400,1982,True,Champion
San Antonio Spurs,3698,7613,48.6,3634,7361,49.4,64,252,25.4,1812,2335,1253,3790,2257,1293,9272,1982,True,Knocked Out
Boston Celtics,3657,7334,49.9,3608,7150,50.5,49,184,26.6,1817,2457,1253,3742,2126,1452,9180,1982,True,Knocked Out
Philadelphia 76ers,3616,6974,51.800000000000004,3575,6835,52.300000000000004,41,139,29.5,1846,2471,1031,3420,2264,1474,9119,1982,True,Runner-Up
Detroit Pistons,3561,7391,48.199999999999996,3509,7178,48.9,52,213,24.4,1938,2581,1298,3643,2027,1629,9112,1982,False,Never Qualified
Utah Jazz,3679,7446,49.4,3657,7349,49.8,22,97,22.7,1714,2282,1147,3509,1895,1435,9094,1982,False,Never Qualified
Golden State Warriors,3646,7349,49.6,3555,7024,50.6,91,325,28.000000000000004,1709,2382,1282,3734,1820,1424,9092,1982,False,Never Qualified
Portland Trail Blazers,3629,7187,50.5,3600,7047,51.1,29,140,20.7,1719,2387,1142,3497,2054,1390,9006,1982,False,Never Qualified
Los Angeles Clippers,3552,7101,50.0,3453,6763,51.1,99,338,29.299999999999997,1693,2341,1131,3327,1878,1570,8896,1982,False,Never Qualified
Milwaukee Bucks,3544,7015,50.5,3495,6851,51.0,49,164,29.9,1753,2329,1167,3582,2233,1589,8890,1982,True,Knocked Out
Oklahoma City Thunder,3505,7178,48.8,3467,7025,49.4,38,153,24.8,1747,2362,1103,3647,2103,1351,8795,1982,True,Knocked Out
Sacramento Kings,3604,7284,49.5,3578,7154,50.0,26,130,20.0,1551,2158,1086,3362,2056,1507,8785,1982,False,Never Qualified
Brooklyn Nets,3501,7227,48.4,3471,7081,49.0,30,146,20.5,1714,2354,1194,3514,2096,1650,8746,1982,True,Knocked Out
Chicago Bulls,3369,6728,50.1,3315,6515,50.9,54,213,25.4,1951,2545,1125,3650,2043,1636,8743,1982,False,Never Qualified
New York Knicks,3523,7178,49.1,3465,6964,49.8,58,214,27.1,1603,2171,1168,3441,2075,1486,8707,1982,False,Never Qualified
Phoenix Suns,3508,7140,49.1,3454,6966,49.6,54,174,31.0,1635,2157,1123,3640,2223,1528,8705,1982,True,Knocked Out
Houston Rockets,3504,7366,47.599999999999994,3454,7190,48.0,50,176,28.4,1622,2225,1403,3687,1977,1321,8680,1982,True,Knocked Out
Dallas Mavericks,3390,7224,46.9,3335,7034,47.4,55,190,28.9,1740,2366,1213,3441,2117,1317,8575,1982,False,Never Qualified
Washington Wizards,3400,7168,47.4,3341,6932,48.199999999999996,59,236,25.0,1626,2105,1047,3630,1983,1390,8485,1982,True,Knocked Out
Cleveland Cavaliers,3405,7334,46.400000000000006,3380,7197,47.0,25,137,18.2,1628,2179,1190,3360,1871,1319,8463,1982,False,Never Qualified
Indiana Pacers,3332,7164,46.5,3229,6848,47.199999999999996,103,316,32.6,1612,2176,1141,3513,1897,1393,8379,1982,False,Never Qualified
Atlanta Hawks,3210,6776,47.4,3182,6648,47.9,28,128,21.9,1833,2387,1135,3503,1815,1343,8281,1982,True,Knocked Out
Denver Nuggets,3951,7999,49.4,3927,7873,49.9,24,126,19.0,2179,2696,1214,3738,2336,1496,10105,1983,True,Knocked Out
Los Angeles Lakers,3964,7512,52.800000000000004,3954,7416,53.300000000000004,10,96,10.4,1495,2031,1235,3668,2519,1584,9433,1983,True,Runner-Up
San Antonio Spurs,3697,7340,50.4,3603,7032,51.2,94,308,30.5,1887,2468,1232,3831,2261,1504,9375,1983,True,Knocked Out
Sacramento Kings,3719,7485,49.7,3668,7270,50.5,51,215,23.7,1839,2530,1256,3663,2155,1691,9328,1983,False,Never Qualified
Dallas Mavericks,3674,7550,48.699999999999996,3631,7365,49.3,43,185,23.200000000000003,1852,2462,1296,3677,2227,1348,9243,1983,False,Never Qualified
Detroit Pistons,3623,7602,47.699999999999996,3551,7330,48.4,72,272,26.5,1921,2588,1312,3789,2108,1557,9239,1983,False,Never Qualified
Boston Celtics,3711,7547,49.2,3672,7361,49.9,39,186,21.0,1730,2348,1273,3805,2216,1541,9191,1983,True,Knocked Out
Philadelphia 76ers,3600,7212,49.9,3575,7103,50.3,25,109,22.900000000000002,1966,2650,1334,3930,2016,1627,9191,1983,True,Champion
Chicago Bulls,3537,7373,48.0,3492,7164,48.699999999999996,45,209,21.5,1983,2690,1267,3794,2086,1743,9102,1983,False,Never Qualified
Oklahoma City Thunder,3597,7277,49.4,3568,7139,50.0,29,138,21.0,1796,2459,1152,3721,2278,1533,9019,1983,True,Knocked Out
Utah Jazz,3525,7342,48.0,3481,7159,48.6,44,183,24.0,1844,2440,1093,3643,2176,1683,8938,1983,False,Never Qualified
Indiana Pacers,3707,7723,48.0,3657,7487,48.8,50,236,21.2,1447,1910,1299,3593,2150,1535,8911,1983,False,Never Qualified
Golden State Warriors,3627,7508,48.3,3593,7358,48.8,34,150,22.7,1620,2199,1281,3565,1964,1606,8908,1983,False,Never Qualified
Los Angeles Clippers,3625,7634,47.5,3561,7372,48.3,64,262,24.4,1589,2195,1394,3502,2087,1600,8903,1983,False,Never Qualified
Portland Trail Blazers,3459,7124,48.6,3424,6974,49.1,35,150,23.3,1855,2512,1180,3560,2030,1495,8808,1983,True,Knocked Out
Phoenix Suns,3555,7158,49.7,3515,7000,50.2,40,158,25.3,1626,2189,1094,3612,2300,1545,8776,1983,True,Knocked Out
Milwaukee Bucks,3486,7133,48.9,3449,6964,49.5,37,169,21.9,1731,2299,1095,3572,2116,1447,8740,1983,True,Knocked Out
Brooklyn Nets,3510,7140,49.2,3480,6991,49.8,30,149,20.1,1622,2301,1266,3693,2143,1873,8672,1983,True,Knocked Out
Atlanta Hawks,3352,7146,46.9,3307,6958,47.5,45,188,23.9,1586,2111,1139,3572,1945,1424,8335,1983,True,Knocked Out
New York Knicks,3272,6793,48.199999999999996,3239,6662,48.6,33,131,25.2,1621,2282,1080,3343,2034,1509,8198,1983,True,Knocked Out
Houston Rockets,3338,7446,44.800000000000004,3271,7175,45.6,67,271,24.7,1402,1934,1206,3466,1931,1571,8145,1983,False,Never Qualified
Washington Wizards,3306,7059,46.800000000000004,3236,6822,47.4,70,237,29.5,1452,2059,1099,3529,2046,1588,8134,1983,False,Never Qualified
Cleveland Cavaliers,3252,6995,46.5,3222,6875,46.9,30,120,25.0,1430,1983,1173,3587,1738,1538,7964,1983,False,Never Qualified
Denver Nuggets,3935,7983,49.3,3858,7728,49.9,77,255,30.2,2200,2690,1133,3577,2482,1344,10147,1984,True,Knocked Out
San Antonio Spurs,3909,7721,50.6,3830,7458,51.4,79,263,30.0,1965,2604,1230,3758,2361,1447,9862,1984,False,Never Qualified
Detroit Pistons,3798,7910,48.0,3766,7769,48.5,32,141,22.7,1974,2547,1427,3861,2256,1310,9602,1984,True,Knocked Out
Los Angeles Lakers,3854,7250,53.2,3796,7024,54.0,58,226,25.7,1712,2272,1095,3594,2455,1578,9478,1984,True,Runner-Up
Utah Jazz,3606,7242,49.8,3505,6925,50.6,101,317,31.900000000000002,2115,2708,1096,3618,2230,1510,9428,1984,True,Knocked Out
Portland Trail Blazers,3632,7189,50.5,3607,7060,51.1,25,129,19.400000000000002,1988,2637,1251,3445,2082,1483,9277,1984,True,Knocked Out
Boston Celtics,3616,7235,50.0,3561,7006,50.8,55,229,24.0,1907,2407,1159,3697,2122,1420,9194,1984,True,Champion
Phoenix Suns,3677,7220,50.9,3603,6929,52.0,74,291,25.4,1673,2204,1066,3364,2214,1451,9101,1984,True,Knocked Out
Los Angeles Clippers,3634,7325,49.6,3610,7197,50.2,24,128,18.8,1785,2424,1307,3689,1981,1515,9077,1984,False,Never Qualified
Houston Rockets,3729,7533,49.5,3699,7379,50.1,30,154,19.5,1583,2139,1200,3683,2204,1562,9071,1984,False,Never Qualified
Dallas Mavericks,3618,7235,50.0,3576,7051,50.7,42,184,22.8,1774,2350,1090,3355,2164,1303,9052,1984,True,Knocked Out
Sacramento Kings,3516,7230,48.6,3464,7041,49.2,52,189,27.500000000000004,1939,2495,1144,3417,2229,1504,9023,1984,True,Knocked Out
Brooklyn Nets,3614,7258,49.8,3565,7026,50.7,49,232,21.099999999999998,1742,2488,1221,3534,2148,1608,9019,1984,True,Knocked Out
Golden State Warriors,3519,7534,46.7,3464,7308,47.4,55,226,24.3,1915,2577,1390,3561,1837,1518,9008,1984,False,Never Qualified
Oklahoma City Thunder,3460,7083,48.8,3433,6943,49.4,27,140,19.3,1918,2460,1064,3396,2233,1360,8865,1984,True,Knocked Out
Philadelphia 76ers,3384,6833,49.5,3355,6726,49.9,29,107,27.1,2041,2706,1181,3563,2032,1628,8838,1984,True,Knocked Out
New York Knicks,3386,6837,49.5,3339,6672,50.0,47,165,28.499999999999996,1944,2510,1088,3318,2041,1587,8763,1984,True,Knocked Out
Milwaukee Bucks,3432,6970,49.2,3373,6738,50.1,59,232,25.4,1743,2354,1135,3520,2113,1415,8666,1984,True,Knocked Out
Indiana Pacers,3447,7130,48.3,3399,6923,49.1,48,207,23.200000000000003,1624,2119,1002,3400,2169,1525,8566,1984,False,Never Qualified
Chicago Bulls,3305,6972,47.4,3285,6855,47.9,20,117,17.1,1871,2508,1141,3441,2095,1578,8501,1984,False,Never Qualified
Washington Wizards,3344,6907,48.4,3273,6625,49.4,71,282,25.2,1664,2201,1027,3414,2192,1448,8423,1984,True,Knocked Out
Cleveland Cavaliers,3362,7232,46.5,3319,7068,47.0,43,164,26.200000000000003,1619,2178,1213,3601,1930,1332,8386,1984,False,Never Qualified
Atlanta Hawks,3230,6809,47.4,3207,6703,47.8,23,106,21.7,1838,2414,1112,3344,1827,1329,8321,1984,True,Knocked Out
Denver Nuggets,3876,7976,48.6,3803,7741,49.1,73,235,31.1,2016,2568,1331,3634,2266,1382,9841,1985,True,Knocked Out
Los Angeles Lakers,3952,7254,54.50000000000001,3862,6959,55.50000000000001,90,295,30.5,1702,2232,1063,3613,2575,1537,9696,1985,True,Champion
Detroit Pistons,3840,7999,48.0,3795,7800,48.699999999999996,45,199,22.6,1783,2262,1403,3937,2302,1341,9508,1985,True,Knocked Out
Portland Trail Blazers,3708,7374,50.3,3657,7172,51.0,51,202,25.2,2002,2667,1202,3500,2225,1481,9469,1985,True,Knocked Out
Sacramento Kings,3664,7275,50.4,3601,7037,51.2,63,238,26.5,2022,2595,1167,3494,2342,1593,9413,1985,False,Never Qualified
Boston Celtics,3721,7325,50.8,3611,7016,51.5,110,309,35.6,1860,2307,1116,3746,2287,1332,9412,1985,True,Runner-Up
San Antonio Spurs,3698,7202,51.300000000000004,3643,7000,52.0,55,202,27.200000000000003,1961,2571,1127,3597,2316,1542,9412,1985,True,Knocked Out
Philadelphia 76ers,3443,6992,49.2,3384,6768,50.0,59,224,26.3,2316,2883,1301,3665,1999,1575,9261,1985,True,Knocked Out
Houston Rockets,3748,7440,50.4,3707,7254,51.1,41,186,22.0,1581,2261,1325,3720,2239,1605,9118,1985,True,Knocked Out
Dallas Mavericks,3560,7280,48.9,3408,6837,49.8,152,443,34.300000000000004,1844,2324,1095,3440,2152,1184,9116,1985,True,Knocked Out
Milwaukee Bucks,3564,7256,49.1,3475,6962,49.9,89,294,30.3,1873,2473,1256,3609,2164,1382,9090,1985,True,Knocked Out
Golden State Warriors,3498,7555,46.300000000000004,3386,7158,47.3,112,397,28.199999999999996,1944,2531,1327,3466,1759,1460,9052,1985,False,Never Qualified
Brooklyn Nets,3646,7445,49.0,3594,7221,49.8,52,224,23.200000000000003,1631,2237,1233,3558,2163,1355,8975,1985,True,Knocked Out
Utah Jazz,3478,7302,47.599999999999994,3375,6995,48.199999999999996,103,307,33.6,1878,2434,1081,3635,2143,1575,8937,1985,True,Knocked Out
Chicago Bulls,3453,6909,50.0,3424,6748,50.7,29,161,18.0,1981,2526,1074,3440,1992,1463,8916,1985,True,Knocked Out
Cleveland Cavaliers,3470,7364,47.099999999999994,3374,7029,48.0,96,335,28.7,1867,2491,1203,3648,2096,1387,8903,1985,True,Knocked Out
Indiana Pacers,3489,7324,47.599999999999994,3459,7169,48.199999999999996,30,155,19.400000000000002,1871,2516,1198,3821,1945,1622,8879,1985,False,Never Qualified
Phoenix Suns,3507,7144,49.1,3420,6837,50.0,87,307,28.299999999999997,1757,2280,1026,3451,2335,1583,8858,1985,True,Knocked Out
Los Angeles Clippers,3527,7119,49.5,3471,6931,50.1,56,188,29.799999999999997,1674,2208,1163,3597,1934,1587,8784,1985,False,Never Qualified
Atlanta Hawks,3444,7119,48.4,3371,6884,49.0,73,235,31.1,1782,2371,1161,3506,2009,1475,8743,1985,False,Never Qualified
Washington Wizards,3534,7383,47.9,3425,6985,49.0,109,398,27.400000000000002,1478,1989,1012,3407,2088,1282,8655,1985,True,Knocked Out
New York Knicks,3435,7101,48.4,3384,6903,49.0,51,198,25.8,1706,2350,1116,3218,1999,1458,8627,1985,False,Never Qualified
Oklahoma City Thunder,3277,6910,47.4,3232,6725,48.1,45,185,24.3,1777,2305,1019,3306,2185,1493,8376,1985,False,Never Qualified
Los Angeles Lakers,3834,7343,52.2,3696,6934,53.300000000000004,138,409,33.7,1812,2329,1101,3656,2433,1467,9618,1986,True,Knocked Out
Dallas Mavericks,3631,7254,50.1,3490,6808,51.300000000000004,141,446,31.6,2050,2643,1059,3513,2108,1289,9453,1986,True,Knocked Out
Portland Trail Blazers,3610,7281,49.6,3536,7006,50.5,74,275,26.900000000000002,2142,2799,1153,3469,2180,1529,9436,1986,True,Knocked Out
Denver Nuggets,3705,7868,47.099999999999994,3634,7563,48.0,71,305,23.3,1929,2416,1223,3540,2140,1336,9410,1986,True,Knocked Out
Milwaukee Bucks,3601,7310,49.3,3476,6928,50.2,125,382,32.7,2063,2701,1189,3609,2158,1369,9390,1986,True,Knocked Out
Houston Rockets,3759,7671,49.0,3674,7361,49.9,85,310,27.400000000000002,1776,2434,1316,3750,2318,1374,9379,1986,True,Runner-Up
Detroit Pistons,3754,7750,48.4,3699,7568,48.9,55,182,30.2,1800,2300,1276,3737,2319,1343,9363,1986,True,Knocked Out
Boston Celtics,3718,7312,50.8,3580,6919,51.7,138,393,35.099999999999994,1785,2248,1054,3807,2387,1360,9359,1986,True,Champion
Golden State Warriors,3650,7567,48.199999999999996,3563,7289,48.9,87,278,31.3,1912,2517,1271,3615,2018,1400,9299,1986,False,Never Qualified
San Antonio Spurs,3596,7104,50.6,3550,6908,51.4,46,196,23.5,1882,2523,1069,3482,2260,1624,9120,1986,True,Knocked Out
Philadelphia 76ers,3435,7058,48.699999999999996,3384,6834,49.5,51,224,22.8,2130,2810,1326,3704,2017,1595,9051,1986,True,Knocked Out
Phoenix Suns,3518,6993,50.3,3480,6810,51.1,38,183,20.8,1949,2683,1034,3483,2272,1763,9023,1986,False,Never Qualified
Chicago Bulls,3476,7227,48.1,3388,6910,49.0,88,317,27.800000000000004,1922,2499,1280,3558,2006,1436,8962,1986,True,Knocked Out
Brooklyn Nets,3548,7301,48.6,3505,7087,49.5,43,214,20.1,1810,2396,1183,3666,2128,1575,8949,1986,True,Knocked Out
Sacramento Kings,3538,7220,49.0,3508,7086,49.5,30,134,22.400000000000002,1818,2338,1135,3512,2304,1533,8924,1986,True,Knocked Out
Los Angeles Clippers,3388,7165,47.3,3324,6936,47.9,64,229,27.900000000000002,2067,2683,1159,3417,1968,1506,8907,1986,False,Never Qualified
Atlanta Hawks,3447,7029,49.0,3414,6863,49.7,33,166,19.900000000000002,1979,2704,1249,3654,2025,1483,8906,1986,True,Knocked Out
Utah Jazz,3453,7083,48.8,3418,6914,49.4,35,169,20.7,1930,2694,1068,3547,2199,1518,8871,1986,True,Knocked Out
Cleveland Cavaliers,3478,7239,48.0,3346,6848,48.9,132,391,33.800000000000004,1748,2325,1086,3541,2064,1411,8836,1986,False,Never Qualified
Oklahoma City Thunder,3335,7059,47.199999999999996,3256,6759,48.199999999999996,79,300,26.3,1815,2331,1145,3401,1977,1435,8564,1986,False,Never Qualified
Indiana Pacers,3441,7150,48.1,3418,7007,48.8,23,143,16.1,1614,2183,1138,3751,2159,1515,8519,1986,False,Never Qualified
Washington Wizards,3311,7148,46.300000000000004,3195,6740,47.4,116,408,28.4,1704,2286,1066,3498,1748,1346,8442,1986,True,Knocked Out
New York Knicks,3239,7034,46.0,3157,6795,46.5,82,239,34.300000000000004,1534,2237,1081,3251,1877,1438,8094,1986,False,Never Qualified
Portland Trail Blazers,3650,7249,50.4,3552,6910,51.4,98,339,28.9,2269,2928,1180,3593,2359,1546,9667,1987,True,Knocked Out
Los Angeles Lakers,3740,7245,51.6,3576,6798,52.6,164,447,36.7,2012,2550,1127,3642,2428,1358,9656,1987,True,Champion
Denver Nuggets,3744,7951,47.099999999999994,3638,7560,48.1,106,391,27.1,1975,2568,1294,3662,2317,1216,9569,1987,True,Knocked Out
Dallas Mavericks,3594,7373,48.699999999999996,3363,6720,50.0,231,653,35.4,2148,2717,1219,3713,2017,1205,9567,1987,True,Knocked Out
Oklahoma City Thunder,3593,7451,48.199999999999996,3402,6880,49.4,191,571,33.5,1948,2571,1373,3768,2184,1509,9325,1987,True,Knocked Out
Boston Celtics,3645,7051,51.7,3438,6486,53.0,207,565,36.6,1740,2153,933,3518,2421,1300,9237,1987,True,Runner-Up
Golden State Warriors,3551,7412,47.9,3435,7048,48.699999999999996,116,364,31.900000000000002,1970,2526,1193,3544,2083,1354,9188,1987,True,Knocked Out
Detroit Pistons,3544,7237,49.0,3505,7068,49.6,39,169,23.1,1991,2602,1245,3894,2021,1417,9118,1987,True,Knocked Out
Phoenix Suns,3575,7190,49.7,3514,6938,50.6,61,252,24.2,1900,2499,1113,3479,2354,1498,9111,1987,False,Never Qualified
Sacramento Kings,3522,7413,47.5,3445,7106,48.5,77,307,25.1,1974,2479,1282,3723,2185,1403,9095,1987,False,Never Qualified
Milwaukee Bucks,3457,7282,47.5,3272,6710,48.8,185,572,32.300000000000004,1953,2549,1119,3441,2044,1260,9052,1987,True,Knocked Out
Atlanta Hawks,3435,7141,48.1,3300,6716,49.1,135,425,31.8,2019,2661,1350,3828,2077,1279,9024,1987,True,Knocked Out
Brooklyn Nets,3374,7083,47.599999999999994,3229,6634,48.699999999999996,145,449,32.300000000000004,2000,2607,1169,3578,1991,1617,8893,1987,False,Never Qualified
San Antonio Spurs,3532,7456,47.4,3415,7053,48.4,117,403,28.999999999999996,1701,2292,1285,3632,2220,1406,8882,1987,False,Never Qualified
Utah Jazz,3485,7514,46.400000000000006,3346,7066,47.4,139,448,31.0,1735,2389,1194,3650,2240,1403,8844,1987,True,Knocked Out
Houston Rockets,3465,7262,47.699999999999996,3376,6938,48.699999999999996,89,324,27.500000000000004,1746,2355,1190,3671,2227,1384,8765,1987,True,Knocked Out
Philadelphia 76ers,3335,6792,49.1,3247,6452,50.3,88,340,25.900000000000002,1971,2617,1178,3505,1943,1519,8729,1987,True,Knocked Out
Indiana Pacers,3454,7324,47.199999999999996,3360,7008,47.9,94,316,29.7,1696,2170,1132,3596,2170,1276,8698,1987,True,Knocked Out
Washington Wizards,3356,7397,45.4,3313,7179,46.1,43,218,19.7,1935,2531,1305,3620,1750,1301,8690,1987,True,Knocked Out
Chicago Bulls,3382,7155,47.3,3304,6856,48.199999999999996,78,299,26.1,1754,2254,1248,3648,2143,1257,8596,1987,True,Knocked Out
Los Angeles Clippers,3311,7332,45.2,3233,6984,46.300000000000004,78,348,22.400000000000002,1866,2515,1231,3368,1971,1493,8566,1987,False,Never Qualified
Cleveland Cavaliers,3349,7122,47.0,3268,6784,48.199999999999996,81,338,24.0,1779,2554,1257,3677,1912,1619,8558,1987,False,Never Qualified
New York Knicks,3329,7023,47.4,3204,6648,48.199999999999996,125,375,33.300000000000004,1725,2362,1108,3270,1941,1420,8508,1987,False,Never Qualified
Denver Nuggets,3770,7961,47.4,3578,7399,48.4,192,562,34.2,1841,2289,1163,3605,2300,1186,9573,1988,True,Knocked Out
Portland Trail Blazers,3661,7460,49.1,3544,7080,50.1,117,380,30.8,2079,2701,1251,3742,2307,1351,9518,1988,True,Knocked Out
Boston Celtics,3599,6905,52.1,3328,6200,53.7,271,705,38.4,1846,2300,930,3370,2448,1304,9315,1988,True,Knocked Out
San Antonio Spurs,3706,7559,49.0,3573,7147,50.0,133,412,32.300000000000004,1769,2412,1184,3519,2344,1418,9314,1988,True,Knocked Out
Los Angeles Lakers,3576,7078,50.5,3434,6600,52.0,142,478,29.7,1956,2480,1073,3564,2347,1318,9250,1988,True,Champion
Oklahoma City Thunder,3544,7443,47.599999999999994,3323,6805,48.8,221,638,34.599999999999994,1826,2442,1313,3627,2146,1376,9135,1988,True,Knocked Out
Dallas Mavericks,3413,7191,47.5,3259,6665,48.9,154,526,29.299999999999997,1980,2510,1341,3836,1984,1257,8960,1988,True,Knocked Out
